name,type,lat,lon,formatted_address,website,opening_hours
Seebers Tavern,bar,42.3958183,-75.8084643,n/a,n/a,n/a
Griffon Gastropub,restaurant,42.7680859,-78.6113159,n/a,http://www.tantaluseastaurora.com/,n/a
"Tony Rome's ""The Globe""",restaurant,42.7676210,-78.6083001,n/a,n/a,n/a
Rick's on Main,restaurant,42.7675639,-78.6092902,n/a,https://www.ricksonmain.com/,n/a
East End Tap Room,restaurant,42.7674792,-78.6086259,n/a,n/a,n/a
Leo's Pizzeria,restaurant,42.7645832,-78.6330880,n/a,https://www.leospizzeriaonline.com/,n/a
Jim's Steak Out,fast_food,42.8993729,-78.8772291,n/a,https://www.jimssteakout.com/,n/a
Allentown Pizza,restaurant,42.8995736,-78.8773459,n/a,https://www.allentownpizza716.com/,n/a
Allen Street Hardware,restaurant,42.8996791,-78.8792223,n/a,n/a,n/a
Crust Pizza Bar,restaurant,42.8993775,-78.8790159,n/a,n/a,n/a
Falley Allen,restaurant,42.8993307,-78.8776432,n/a,n/a,n/a
Casa Azul,restaurant,42.8995948,-78.8769909,n/a,https://www.casaazulbuffalo.com/,n/a
Betty's,restaurant,42.8967153,-78.8787220,n/a,n/a,n/a
Fat Bob's Smoke House,restaurant,42.8978911,-78.8733661,n/a,n/a,n/a
Mother's,restaurant,42.8976521,-78.8733404,n/a,n/a,n/a
Taqueria Ranchos Dos,restaurant,42.8963191,-78.8746278,n/a,https://taqueriaranchosdowntown.com/,n/a
Gabriel's Gate,restaurant,42.8996579,-78.8754776,n/a,n/a,"Mo-Th,Su 11:30-24:00; Fr-Sa 11:30-01:00"
Owl Eyes,cafe,42.8992681,-78.8760784,n/a,n/a,n/a
Charlie's Boathouse,restaurant,42.8510184,-78.8643780,n/a,n/a,n/a
Starbucks,cafe,41.6608461,-73.9310721,n/a,https://www.starbucks.com/store-locator/store/14351/poughkeepsie-south-road-2519-south-road-rte-9-b-poughkeepsie-ny-126015465-,n/a
